-BEGIN HEADER-,,,,,,,,,,,
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data,,,,,,,,,,,
Dates (month/day/year): 04/26/2020 through 10/22/2020,,,,,,,,,,,
Location: Latitude  40.7412   Longitude -74.0398,,,,,,,,,,,
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 102.19 meters   Site = na,,,,,,,,,,,
Climate zone: na (reference Briggs et al: http://www.energycodes.gov),,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999,,,,,,,,,,,
Parameter(s):,,,,,,,,,,,
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C),,,,,,,,,,,
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C),,,,,,,,,,,
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C),,,,,,,,,,,
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C),,,,,,,,,,,
T2MWET MERRA2 1/2x1/2 Wet Bulb Temperature at 2 Meters (C),,,,,,,,,,,
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C),,,,,,,,,,,
TS MERRA2 1/2x1/2 Earth Skin Temperature (C),,,,,,,,,,,
-END HEADER-,,,,,,,,,,,
LAT,LON,YEAR,MO,DY,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M
40.74121,-74.03979,2020,9,23,15.76,17.98,10.55,10.35,26.21,10.46,17.9
40.74121,-74.03979,2020,9,24,11.15,18.1,12.65,12.51,24.65,13.5,18.16
40.74121,-74.03979,2020,9,25,13.04,19.26,13.71,13.59,26.05,13.01,19.14
40.74121,-74.03979,2020,9,26,10.71,19.02,16.25,16.1,24.95,14.24,19.14
40.74121,-74.03979,2020,9,27,10.64,21.34,18.69,18.67,26.98,16.34,21.27
40.74121,-74.03979,2020,9,28,7.91,21.51,18.41,18.38,26.04,18.13,21.42
40.74121,-74.03979,2020,9,29,8.18,21.26,18.98,18.98,26.04,17.86,21.17
40.74121,-74.03979,2020,9,30,6.99,17.9,13.42,12.93,20.9,13.91,17.7
40.74121,-74.03979,2020,10,1,10.51,16.72,11.13,10.93,22.39,11.88,16.49
40.74121,-74.03979,2020,10,2,8.93,14.53,8.34,8.23,19.09,10.16,14.05
40.74121,-74.03979,2020,10,3,11.08,13.39,6.45,6.31,19.22,8.14,13.21
40.74121,-74.03979,2020,10,4,11.94,13.7,8.04,7.88,19.54,7.6,13.3
40.74121,-74.03979,2020,10,5,11.6,14.99,10.27,10.13,20.56,8.96,14.73
40.74121,-74.03979,2020,10,6,9.45,14.84,10.17,10.03,20.36,10.91,14.99
40.74121,-74.03979,2020,10,7,12.14,17.23,11.3,11.11,23.65,11.51,17.21
40.74121,-74.03979,2020,10,8,9.54,13.72,5.96,5.83,18.11,8.57,13.35
40.74121,-74.03979,2020,10,9,13.69,13.95,7.53,7.41,20.64,6.95,13.57
40.74121,-74.03979,2020,10,10,13.17,17.17,13.33,13.1,24.04,10.87,17.11
40.74121,-74.03979,2020,10,11,4.82,16.01,11.99,11.77,18.26,13.44,15.96
40.74121,-74.03979,2020,10,12,2.51,12.46,10.18,10.13,13.04,10.53,12.08
40.74121,-74.03979,2020,10,13,6.63,14.08,12.42,12.39,17.17,10.54,13.91
40.74121,-74.03979,2020,10,14,12.8,13.44,8.42,8.29,20.28,7.49,13.25
40.74121,-74.03979,2020,10,15,12.43,15.77,12.41,12.25,21.91,9.48,15.83
40.74121,-74.03979,2020,10,16,8.11,13.43,12.02,11.74,16.53,8.42,13.24
40.74121,-74.03979,2020,10,17,10.03,9.53,3.14,2.92,15.31,5.28,9.98
40.74121,-74.03979,2020,10,18,10.25,10.48,6.01,5.58,17.04,6.8,11.73
40.74121,-74.03979,2020,10,19,8.93,13.24,11.31,11.28,18.27,9.34,13.54
40.74121,-74.03979,2020,10,20,9.3,16.36,15.62,15.59,21.85,12.55,16.64
40.74121,-74.03979,2020,10,21,9.58,17.59,16.67,16.66,23.28,13.7,17.94
40.74121,-74.03979,2020,10,22,9.2,18.25,16.6,16.63,24.02,14.82,18.37
